eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0002A,2025,0.3338931297709924,0.42069235540229005,131,131,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0004R,2024,0.2383132530120482,0.2298543448554217,166,166,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0004R,2025,0.23638787878787879,0.2564485864751515,165,165,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0006R,2024,0.2191146551724138,0.2406790553534483,116,116,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0006R,2025,0.30306722689075627,0.2543394779117647,119,119,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0008A,2024,1.7399993589743592,1.7597799357884616,156,156,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0008A,2025,1.419208,1.47160036336,125,125,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0018A,2024,6.173277118644068,4.998258604830508,118,118,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0018A,2025,5.750974789915967,4.365125832268908,119,119,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0020A,2024,1.3145647540983607,1.2542196276967215,122,122,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0020A,2025,1.554148514851485,1.4061741623861388,101,101,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0025A,2024,3.4843,3.6789817155702482,121,121,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0025A,2025,2.374333333333333,2.2869842001754384,114,114,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0039A,2024,1.0412450381679388,0.9940216291526719,131,131,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0039A,2025,1.1465474860335196,1.1591032334189943,179,179,higher,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0045A,2024,0.5517336538461538,0.46689483286538463,104,104,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0045A,2025,0.4586486486486486,0.48381851041351354,74,74,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
SK0048A,2024,0.19027164179104478,0.21574618299626866,134,134,lower,G_PLUS_P|log1p|uniform|strict18|500m,block30
