method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.20913444013014879,-0.48344227209435753,0.017696800503103963,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.480868833470079,-0.784947251104741,-0.14317736597494457,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.25506905521020956,-0.48782170787361095,-0.06506156577952127,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.19494229152480563,-0.47403477318121606,0.03386033239546557,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.20892982876299382,-0.31451905625756515,-0.08348082369478252,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.16330975817555915,-0.2892887630615653,-0.047436818342762414,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.011726430029242924,-0.22812994098136385,0.21492255070515984,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.6899587240381931,-1.1041467345606983,-0.13110709678025004,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.34682835224485975,-0.769837091653952,-0.014698866129244436,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.40161101307885405,-0.84524785575915,-0.03548160761843186,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
